2015-01-23 09:01:114   Output LSCData----->0=0x00
2015-01-23 09:01:115   Output LSCData----->1=0x00
2015-01-23 09:01:116   Output LSCData----->2=0xFF
2015-01-23 09:01:116   Output LSCData----->3=0x00
2015-01-23 09:01:117   Output LSCData----->4=0x02
2015-01-23 09:01:118   Output LSCData----->5=0x01
2015-01-23 09:01:119   Output LSCData----->6=0x08
2015-01-23 09:01:119   Output LSCData----->7=0x05
2015-01-23 09:01:120   Output LSCData----->8=0xC4
2015-01-23 09:01:121   Output LSCData----->9=0x03
2015-01-23 09:01:121   Output LSCData----->10=0x0C
2015-01-23 09:01:122   Output LSCData----->11=0x00
2015-01-23 09:01:123   Output LSCData----->12=0x0C
2015-01-23 09:01:124   Output LSCData----->13=0x00
2015-01-23 09:01:125   Output LSCData----->14=0x30
2015-01-23 09:01:125   Output LSCData----->15=0x08
2015-01-23 09:01:126   Output LSCData----->16=0x10
2015-01-23 09:01:127   Output LSCData----->17=0x06
2015-01-23 09:01:128   Output LSCData----->18=0x0A
2015-01-23 09:01:128   Output LSCData----->19=0x00
2015-01-23 09:01:129   Output LSCData----->20=0x0A
2015-01-23 09:01:130   Output LSCData----->21=0x00
2015-01-23 09:01:131   Output LSCData----->22=0x00
2015-01-23 09:01:131   Output LSCData----->23=0x00
2015-01-23 09:01:132   Output LSCData----->24=0x00
2015-01-23 09:01:133   Output LSCData----->25=0x00
2015-01-23 09:01:133   Output LSCData----->26=0xC2
2015-01-23 09:01:134   Output LSCData----->27=0x01
2015-01-23 09:01:135   Output LSCData----->28=0x00
2015-01-23 09:01:135   Output LSCData----->29=0x00
2015-01-23 09:01:136   Output LSCData----->30=0x00
2015-01-23 09:01:137   Output LSCData----->31=0x00
2015-01-23 09:01:137   Output LSCData----->32=0x00
2015-01-23 09:01:138   Output LSCData----->33=0x30
2015-01-23 09:01:138   Output LSCData----->34=0x78
2015-01-23 09:01:139   Output LSCData----->35=0x30
2015-01-23 09:01:140   Output LSCData----->36=0x80
2015-01-23 09:01:140   Output LSCData----->37=0x40
2015-01-23 09:01:141   Output LSCData----->38=0x00
2015-01-23 09:01:142   Output LSCData----->39=0x00
2015-01-23 09:01:142   Output LSCData----->40=0x00
2015-01-23 09:01:143   Output LSCData----->41=0x40
2015-01-23 09:01:144   Output LSCData----->42=0x7A
2015-01-23 09:01:144   Output LSCData----->43=0x00
2015-01-23 09:01:145   Output LSCData----->44=0x84
2015-01-23 09:01:146   Output LSCData----->45=0x00
2015-01-23 09:01:146   Output LSCData----->46=0x20
2015-01-23 09:01:147   Output LSCData----->47=0x20
2015-01-23 09:01:148   Output LSCData----->48=0x20
2015-01-23 09:01:148   Output LSCData----->49=0x20
2015-01-23 09:01:149   Output LSCData----->50=0x00
2015-01-23 09:01:150   Output LSCData----->51=0x00
2015-01-23 09:01:150   Output LSCData----->52=0x00
2015-01-23 09:01:151   Output LSCData----->53=0x30
2015-01-23 09:01:152   Output LSCData----->54=0x37
2015-01-23 09:01:152   Output LSCData----->55=0xD0
2015-01-23 09:01:153   Output LSCData----->56=0x4A
2015-01-23 09:01:154   Output LSCData----->57=0xD0
2015-01-23 09:01:154   Output LSCData----->58=0x00
2015-01-23 09:01:155   Output LSCData----->59=0x00
2015-01-23 09:01:156   Output LSCData----->60=0x00
2015-01-23 09:01:156   Output LSCData----->61=0x40
2015-01-23 09:01:157   Output LSCData----->62=0x3D
2015-01-23 09:01:157   Output LSCData----->63=0x00
2015-01-23 09:01:158   Output LSCData----->64=0x56
2015-01-23 09:01:159   Output LSCData----->65=0x00
2015-01-23 09:01:159   Output LSCData----->66=0x20
2015-01-23 09:01:160   Output LSCData----->67=0x20
2015-01-23 09:01:161   Output LSCData----->68=0x20
2015-01-23 09:01:161   Output LSCData----->69=0x20
2015-01-23 09:01:162   Output LSCData----->70=0x90
2015-01-23 09:01:162   Output LSCData----->71=0x46
2015-01-23 09:01:163   Output LSCData----->72=0x1A
2015-01-23 09:01:163   Output LSCData----->73=0x4D
2015-01-23 09:01:163   Output LSCData----->74=0x29
2015-01-23 09:01:164   Output LSCData----->75=0x45
2015-01-23 09:01:164   Output LSCData----->76=0x0D
2015-01-23 09:01:165   Output LSCData----->77=0x46
2015-01-23 09:01:165   Output LSCData----->78=0x26
2015-01-23 09:01:165   Output LSCData----->79=0x43
2015-01-23 09:01:166   Output LSCData----->80=0x67
2015-01-23 09:01:166   Output LSCData----->81=0x49
2015-01-23 09:01:167   Output LSCData----->82=0xD8
2015-01-23 09:01:167   Output LSCData----->83=0x40
2015-01-23 09:01:167   Output LSCData----->84=0xF4
2015-01-23 09:01:168   Output LSCData----->85=0x42
2015-01-23 09:01:168   Output LSCData----->86=0x6C
2015-01-23 09:01:169   Output LSCData----->87=0x3F
2015-01-23 09:01:169   Output LSCData----->88=0x8F
2015-01-23 09:01:169   Output LSCData----->89=0x44
2015-01-23 09:01:170   Output LSCData----->90=0x01
2015-01-23 09:01:170   Output LSCData----->91=0x3D
2015-01-23 09:01:171   Output LSCData----->92=0x04
2015-01-23 09:01:171   Output LSCData----->93=0x3F
2015-01-23 09:01:171   Output LSCData----->94=0xBC
2015-01-23 09:01:172   Output LSCData----->95=0x3A
2015-01-23 09:01:172   Output LSCData----->96=0x49
2015-01-23 09:01:173   Output LSCData----->97=0x3F
2015-01-23 09:01:173   Output LSCData----->98=0x03
2015-01-23 09:01:173   Output LSCData----->99=0x39
2015-01-23 09:01:174   Output LSCData----->100=0x9A
2015-01-23 09:01:174   Output LSCData----->101=0x3A
2015-01-23 09:01:175   Output LSCData----->102=0x91
2015-01-23 09:01:175   Output LSCData----->103=0x36
2015-01-23 09:01:175   Output LSCData----->104=0xF7
2015-01-23 09:01:176   Output LSCData----->105=0x39
2015-01-23 09:01:176   Output LSCData----->106=0x14
