2016-10-17 15:09:982   Output LSCData----->0=0xFF
2016-10-17 15:09:983   Output LSCData----->1=0x00
2016-10-17 15:09:984   Output LSCData----->2=0x02
2016-10-17 15:09:985   Output LSCData----->3=0x01
2016-10-17 15:09:985   Output LSCData----->4=0x86
2016-10-17 15:09:986   Output LSCData----->5=0x04
2016-10-17 15:09:986   Output LSCData----->6=0x66
2016-10-17 15:09:986   Output LSCData----->7=0x03
2016-10-17 15:09:987   Output LSCData----->8=0x0C
2016-10-17 15:09:988   Output LSCData----->9=0x00
2016-10-17 15:09:988   Output LSCData----->10=0x0C
2016-10-17 15:09:989   Output LSCData----->11=0x00
2016-10-17 15:09:989   Output LSCData----->12=0x86
2016-10-17 15:09:990   Output LSCData----->13=0x04
2016-10-17 15:09:990   Output LSCData----->14=0x66
2016-10-17 15:09:990   Output LSCData----->15=0x03
2016-10-17 15:09:991   Output LSCData----->16=0x0A
2016-10-17 15:09:991   Output LSCData----->17=0x00
2016-10-17 15:09:991   Output LSCData----->18=0x0A
2016-10-17 15:09:992   Output LSCData----->19=0x00
2016-10-17 15:09:992   Output LSCData----->20=0x00
2016-10-17 15:09:993   Output LSCData----->21=0x00
2016-10-17 15:09:993   Output LSCData----->22=0x00
2016-10-17 15:09:994   Output LSCData----->23=0x00
2016-10-17 15:09:994   Output LSCData----->24=0xC2
2016-10-17 15:09:994   Output LSCData----->25=0x01
2016-10-17 15:09:995   Output LSCData----->26=0x00
2016-10-17 15:09:995   Output LSCData----->27=0x00
2016-10-17 15:09:995   Output LSCData----->28=0x00
2016-10-17 15:09:996   Output LSCData----->29=0x00
2016-10-17 15:09:996   Output LSCData----->30=0x00
2016-10-17 15:09:996   Output LSCData----->31=0x30
2016-10-17 15:09:997   Output LSCData----->32=0x6C
2016-10-17 15:09:997   Output LSCData----->33=0x30
2016-10-17 15:09:997   Output LSCData----->34=0x73
2016-10-17 15:09:998   Output LSCData----->35=0x40
2016-10-17 15:09:998   Output LSCData----->36=0x00
2016-10-17 15:09:998   Output LSCData----->37=0x00
2016-10-17 15:09:999   Output LSCData----->38=0x00
2016-10-17 15:09:999   Output LSCData----->39=0x40
