Total time	  0.184000	R_GAIN	  1633	 B_GAIN	  1875	
 Total time	  0.190000	R_GAIN	  1633	 B_GAIN	  1875	
 Total time	  0.202000	R_GAIN	  1633	 B_GAIN	  1875	
 Total time	  0.171000	R_GAIN	  1643	 B_GAIN	  1886	
 Total time	  0.177000	R_GAIN	  1590	 B_GAIN	  1766	
 Total time	  0.171000	R_GAIN	  1588	 B_GAIN	  1760	
 Total time	  0.161000	R_GAIN	  1598	 B_GAIN	  1771	
 Total time	  0.168000	R_GAIN	  1588	 B_GAIN	  1780	
 Total time	  0.354000	R_GAIN	  1504	 B_GAIN	  1858	
 Total time	  0.388000	R_GAIN	  1504	 B_GAIN	  1858	
 Total time	  0.552000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.487000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.470000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.326000	R_GAIN	  1495	 B_GAIN	  1861	
 Total time	  0.369000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.291000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.318000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.412000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.394000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.331000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.357000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.774000	R_GAIN	  1487	 B_GAIN	  1863	
 Total time	  0.282000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.273000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.405000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.303000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.278000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.303000	R_GAIN	  1495	 B_GAIN	  1849	
 Total time	  0.337000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.407000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.389000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.261000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.292000	R_GAIN	  1500	 B_GAIN	  1863	
 Total time	  0.306000	R_GAIN	  1491	 B_GAIN	  1852	
 Total time	  0.395000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.411000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.437000	R_GAIN	  1495	 B_GAIN	  1860	
 Total time	  0.469000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.359000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.410000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.423000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.256000	R_GAIN	  1485	 B_GAIN	  1870	
 Total time	  0.413000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.330000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.345000	R_GAIN	  1500	 B_GAIN	  1870	
 Total time	  0.354000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.429000	R_GAIN	  1495	 B_GAIN	  1847	
 Total time	  0.339000	R_GAIN	  1495	 B_GAIN	  1847	
 Total time	  0.341000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.269000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.351000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.574000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.361000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.425000	R_GAIN	  1500	 B_GAIN	  1870	
 Total time	  0.325000	R_GAIN	  1500	 B_GAIN	  1870	
 Total time	  0.414000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.325000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.430000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.377000	R_GAIN	  1490	 B_GAIN	  1858	
 Total time	  0.367000	R_GAIN	  1500	 B_GAIN	  1857	
 Total time	  0.363000	R_GAIN	  1509	 B_GAIN	  1847	
 Total time	  0.391000	R_GAIN	  1509	 B_GAIN	  1869	
 Total time	  0.364000	R_GAIN	  1495	 B_GAIN	  1869	
 Total time	  0.897000	R_GAIN	  1500	 B_GAIN	  1862	
 Total time	  0.342000	R_GAIN	  1490	 B_GAIN	  1872	
 Total time	  0.405000	R_GAIN	  1490	 B_GAIN	  1872	
 Total time	  0.398000	R_GAIN	  1490	 B_GAIN	  1872	
 Total time	  0.375000	R_GAIN	  1490	 B_GAIN	  1872	
 Total time	  0.270000	R_GAIN	  1490	 B_GAIN	  1872	
 Total time	  0.313000	R_GAIN	  1500	 B_GAIN	  1857	
 Total time	  0.292000	R_GAIN	  1485	 B_GAIN	  1870	
 Total time	  0.388000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.331000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.416000	R_GAIN	  1485	 B_GAIN	  1848	
 Total time	  0.349000	R_GAIN	  1867	 B_GAIN	  2066	
 Total time	  0.430000	R_GAIN	  1802	 B_GAIN	  2066	
 Total time	  0.412000	R_GAIN	  1795	 B_GAIN	  2078	
 Total time	  0.539000	R_GAIN	  1795	 B_GAIN	  2078	
 Total time	  0.442000	R_GAIN	  1786	 B_GAIN	  2092	
 Total time	  0.389000	R_GAIN	  1786	 B_GAIN	  2064	
 Total time	  0.307000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.316000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.288000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.287000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.280000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.345000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.269000	R_GAIN	  1535	 B_GAIN	  1881	
 Total time	  0.289000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.351000	R_GAIN	  1538	 B_GAIN	  1882	
 Total time	  0.412000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.315000	R_GAIN	  1538	 B_GAIN	  1882	
 Total time	  0.308000	R_GAIN	  1528	 B_GAIN	  1892	
 Total time	  0.278000	R_GAIN	  1528	 B_GAIN	  1892	
 Total time	  0.276000	R_GAIN	  1528	 B_GAIN	  1892	
 Total time	  0.294000	R_GAIN	  1538	 B_GAIN	  1904	
 Total time	  0.283000	R_GAIN	  1528	 B_GAIN	  1892	
 Total time	  0.224000	R_GAIN	  1525	 B_GAIN	  1864	
 Total time	  0.292000	R_GAIN	  1525	 B_GAIN	  1887	
 Total time	  0.388000	R_GAIN	  1530	 B_GAIN	  1851	
 Total time	  0.422000	R_GAIN	  1530	 B_GAIN	  1851	
 Total time	  0.388000	R_GAIN	  1530	 B_GAIN	  1851	
 Total time	  0.352000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.354000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.338000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.304000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.406000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.330000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.373000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.366000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.372000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.261000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.276000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.521000	R_GAIN	  1786	 B_GAIN	  2038	
 Total time	  0.457000	R_GAIN	  1525	 B_GAIN	  1864	
 Total time	  0.449000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.456000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.468000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.440000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.695000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.479000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.451000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.515000	R_GAIN	  1525	 B_GAIN	  1841	
 Total time	  0.380000	R_GAIN	  1524	 B_GAIN	  1855	
 Total time	  0.547000	R_GAIN	  1524	 B_GAIN	  1855	
 Total time	  0.333000	R_GAIN	  1524	 B_GAIN	  1855	
 Total time	  0.438000	R_GAIN	  1524	 B_GAIN	  1855	
 Total time	  0.397000	R_GAIN	  1524	 B_GAIN	  1855	
 Total time	  0.425000	R_GAIN	  1530	 B_GAIN	  1843	
 Total time	  0.437000	R_GAIN	  1530	 B_GAIN	  1843	
 Total time	  0.497000	R_GAIN	  1530	 B_GAIN	  1843	
 Total time	  0.418000	R_GAIN	  1530	 B_GAIN	  1843	
 Total time	  0.381000	R_GAIN	  1535	 B_GAIN	  1847	
 Total time	  0.365000	R_GAIN	  1519	 B_GAIN	  1845	
 Total time	  0.422000	R_GAIN	  1536	 B_GAIN	  1852	
 Total time	  0.465000	R_GAIN	  1534	 B_GAIN	  1845	
 Total time	  0.350000	R_GAIN	  1534	 B_GAIN	  1867	
 Total time	  0.410000	R_GAIN	  1534	 B_GAIN	  1867	
 Total time	  0.341000	R_GAIN	  1534	 B_GAIN	  1845	
 Total time	  0.380000	R_GAIN	  1534	 B_GAIN	  1867	
 Total time	  0.311000	R_GAIN	  1519	 B_GAIN	  1837	
 Total time	  0.334000	R_GAIN	  1523	 B_GAIN	  1839	
 Total time	  0.402000	R_GAIN	  1523	 B_GAIN	  1860	
 Total time	  0.304000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.461000	R_GAIN	  1533	 B_GAIN	  1858	
 Total time	  0.158000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.145000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.140000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.127000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.114000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.146000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.150000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.326000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.182000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.400000	R_GAIN	  552	 B_GAIN	  552	
 Total time	  0.406000	R_GAIN	  2961	 B_GAIN	  1305	
 Total time	  0.361000	R_GAIN	  2942	 B_GAIN	  1307	
 Total time	  0.324000	R_GAIN	  2942	 B_GAIN	  1307	
 Total time	  0.335000	R_GAIN	  2901	 B_GAIN	  1309	
 Total time	  0.505000	R_GAIN	  2921	 B_GAIN	  1318	
 Total time	  0.472000	R_GAIN	  1561	 B_GAIN	  1800	
 Total time	  0.256000	R_GAIN	  1564	 B_GAIN	  1795	
 Total time	  0.260000	R_GAIN	  2961	 B_GAIN	  1305	
 Total time	  0.286000	R_GAIN	  2942	 B_GAIN	  1307	
 Total time	  0.398000	R_GAIN	  1561	 B_GAIN	  1821	
 
