POG Position(1, 1), PixelCount(29136), Intensity(55210)
POG Position(4, 150), PixelCount(1), Intensity(1)
POG Position(6, 150), PixelCount(1), Intensity(2)
POG Position(8, 150), PixelCount(2), Intensity(2)
POG Position(11, 150), PixelCount(1), Intensity(1)
POG Position(13, 150), PixelCount(4), Intensity(4)
POG Position(18, 150), PixelCount(1), Intensity(1)
POG Position(20, 150), PixelCount(1), Intensity(1)
POG Position(22, 150), PixelCount(4), Intensity(4)
POG Position(27, 150), PixelCount(2), Intensity(2)
POG Position(30, 150), PixelCount(3), Intensity(3)
POG Position(34, 150), PixelCount(3), Intensity(3)
POG Position(38, 150), PixelCount(2), Intensity(2)
POG Position(41, 150), PixelCount(3), Intensity(3)
POG Position(45, 150), PixelCount(4), Intensity(4)
POG Position(50, 150), PixelCount(3), Intensity(3)
POG Position(54, 150), PixelCount(1), Intensity(1)
POG Position(56, 150), PixelCount(1), Intensity(1)
POG Position(58, 150), PixelCount(1), Intensity(2)
POG Position(60, 150), PixelCount(1), Intensity(1)
POG Position(62, 150), PixelCount(4), Intensity(4)
POG Position(67, 150), PixelCount(2), Intensity(2)
POG Position(70, 150), PixelCount(1), Intensity(1)
POG Position(72, 150), PixelCount(2), Intensity(2)
POG Position(75, 150), PixelCount(1), Intensity(1)
POG Position(77, 150), PixelCount(1), Intensity(1)
POG Position(79, 150), PixelCount(1), Intensity(1)
POG Position(81, 150), PixelCount(1), Intensity(1)
POG Position(84, 150), PixelCount(1), Intensity(1)
POG Position(86, 150), PixelCount(1), Intensity(1)
POG Position(93, 150), PixelCount(1), Intensity(1)
POG Position(95, 150), PixelCount(2), Intensity(2)
POG Position(103, 150), PixelCount(1), Intensity(1)
POG Position(105, 150), PixelCount(2), Intensity(2)
POG Position(110, 150), PixelCount(3), Intensity(3)
POG Position(115, 150), PixelCount(2), Intensity(2)
POG Position(119, 150), PixelCount(2), Intensity(2)
POG Position(124, 150), PixelCount(1), Intensity(1)
POG Position(126, 150), PixelCount(1), Intensity(1)
POG Position(128, 150), PixelCount(2), Intensity(2)
POG Position(131, 150), PixelCount(1), Intensity(1)
POG Position(133, 150), PixelCount(2), Intensity(2)
POG Position(136, 150), PixelCount(1), Intensity(1)
POG Position(138, 150), PixelCount(1), Intensity(2)
POG Position(140, 150), PixelCount(2), Intensity(2)
POG Position(143, 150), PixelCount(3), Intensity(3)
POG Position(147, 150), PixelCount(1), Intensity(1)
POG Position(149, 150), PixelCount(4), Intensity(4)
POG Position(154, 150), PixelCount(2), Intensity(3)
POG Position(158, 150), PixelCount(4), Intensity(4)
POG Position(163, 150), PixelCount(1), Intensity(1)
POG Position(165, 150), PixelCount(4), Intensity(4)
POG Position(170, 150), PixelCount(1), Intensity(1)
POG Position(172, 150), PixelCount(3), Intensity(3)
POG Position(176, 150), PixelCount(1), Intensity(1)
POG Position(178, 150), PixelCount(2), Intensity(2)
POG Position(181, 150), PixelCount(4), Intensity(4)
POG Position(186, 150), PixelCount(3), Intensity(3)
POG Position(190, 150), PixelCount(4), Intensity(4)
POG Position(195, 150), PixelCount(1), Intensity(2)
POG Position(197, 150), PixelCount(3), Intensity(3)
POG Position(0, 147), PixelCount(2), Intensity(2)
POG Position(0, 145), PixelCount(1), Intensity(2)
POG Position(0, 143), PixelCount(1), Intensity(1)
POG Position(0, 141), PixelCount(1), Intensity(1)
POG Position(0, 139), PixelCount(1), Intensity(1)
POG Position(0, 135), PixelCount(3), Intensity(3)
POG Position(0, 133), PixelCount(1), Intensity(1)
POG Position(0, 131), PixelCount(1), Intensity(1)
POG Position(0, 127), PixelCount(1), Intensity(1)
POG Position(0, 121), PixelCount(5), Intensity(5)
POG Position(0, 119), PixelCount(1), Intensity(1)
POG Position(0, 117), PixelCount(1), Intensity(1)
POG Position(0, 111), PixelCount(2), Intensity(2)
POG Position(0, 108), PixelCount(1), Intensity(1)
POG Position(0, 106), PixelCount(1), Intensity(1)
POG Position(0, 104), PixelCount(1), Intensity(1)
POG Position(0, 96), PixelCount(4), Intensity(4)
POG Position(0, 93), PixelCount(1), Intensity(1)
POG Position(0, 89), PixelCount(2), Intensity(2)
POG Position(0, 87), PixelCount(1), Intensity(1)
POG Position(0, 83), PixelCount(2), Intensity(2)
POG Position(0, 81), PixelCount(1), Intensity(1)
POG Position(0, 78), PixelCount(2), Intensity(2)
POG Position(0, 70), PixelCount(2), Intensity(2)
POG Position(0, 64), PixelCount(2), Intensity(2)
POG Position(0, 57), PixelCount(1), Intensity(1)
POG Position(0, 49), PixelCount(1), Intensity(1)
POG Position(0, 43), PixelCount(3), Intensity(3)
POG Position(0, 37), PixelCount(3), Intensity(4)
POG Position(0, 34), PixelCount(1), Intensity(1)
POG Position(0, 32), PixelCount(1), Intensity(1)
POG Position(0, 26), PixelCount(4), Intensity(4)
POG Position(0, 23), PixelCount(1), Intensity(1)
POG Position(0, 21), PixelCount(1), Intensity(1)
POG Position(0, 19), PixelCount(1), Intensity(1)
POG Position(0, 15), PixelCount(2), Intensity(2)
POG Position(0, 12), PixelCount(1), Intensity(1)
POG Position(0, 9), PixelCount(1), Intensity(2)
POG Position(0, 4), PixelCount(3), Intensity(3)
POG Position(0, 1), PixelCount(2), Intensity(2)
POG Position(1, 1), PixelCount(29136), Intensity(55210)
POG Position(4, 150), PixelCount(1), Intensity(1)
POG Position(6, 150), PixelCount(1), Intensity(2)
POG Position(8, 150), PixelCount(2), Intensity(2)
POG Position(11, 150), PixelCount(1), Intensity(1)
POG Position(13, 150), PixelCount(4), Intensity(4)
POG Position(18, 150), PixelCount(1), Intensity(1)
POG Position(20, 150), PixelCount(1), Intensity(1)
POG Position(22, 150), PixelCount(4), Intensity(4)
POG Position(27, 150), PixelCount(2), Intensity(2)
POG Position(30, 150), PixelCount(3), Intensity(3)
