Total time	  0.187000	R_GAIN	  577	 B_GAIN	  574	
 Total time	  0.109000	R_GAIN	  577	 B_GAIN	  574	
 Total time	  0.081000	R_GAIN	  574	 B_GAIN	  574	
 Total time	  0.084000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.078000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.082000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.079000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.087000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.078000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.082000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.077000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.090000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.083000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.085000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.080000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.077000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.080000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.085000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.092000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.088000	R_GAIN	  581	 B_GAIN	  577	
 Total time	  0.083000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.084000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.080000	R_GAIN	  581	 B_GAIN	  581	
 Total time	  0.089000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.084000	R_GAIN	  581	 B_GAIN	  581	
 Total time	  0.081000	R_GAIN	  581	 B_GAIN	  581	
 Total time	  0.082000	R_GAIN	  581	 B_GAIN	  581	
 Total time	  0.080000	R_GAIN	  581	 B_GAIN	  581	
 Total time	  0.080000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.080000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.079000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.081000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.134000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.083000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.082000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.169000	R_GAIN	  575	 B_GAIN	  575	
 Total time	  0.095000	R_GAIN	  579	 B_GAIN	  575	
 Total time	  0.093000	R_GAIN	  579	 B_GAIN	  575	
 Total time	  0.090000	R_GAIN	  575	 B_GAIN	  575	
 Total time	  0.095000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.176000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.098000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.129000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.097000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.110000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.095000	R_GAIN	  580	 B_GAIN	  576	
 Total time	  0.161000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.094000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.117000	R_GAIN	  582	 B_GAIN	  585	
 Total time	  0.090000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.177000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.169000	R_GAIN	  556	 B_GAIN	  560	
 Total time	  0.158000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.169000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.235000	R_GAIN	  558	 B_GAIN	  558	
 Total time	  0.152000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.163000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.156000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.183000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.223000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.164000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.217000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.176000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.160000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.146000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.170000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.192000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.161000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.149000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.156000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.176000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.151000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.137000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.164000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.153000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.149000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.149000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.305000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.204000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.217000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.229000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.153000	R_GAIN	  561	 B_GAIN	  561	
 Total time	  0.139000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.127000	R_GAIN	  563	 B_GAIN	  563	
 Total time	  0.179000	R_GAIN	  559	 B_GAIN	  559	
 Total time	  0.157000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.154000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.172000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.148000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.208000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.176000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.164000	R_GAIN	  556	 B_GAIN	  559	
 Total time	  0.229000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.151000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.189000	R_GAIN	  562	 B_GAIN	  562	
 Total time	  0.159000	R_GAIN	  562	 B_GAIN	  562	
 Total time	  0.193000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.178000	R_GAIN	  556	 B_GAIN	  556	
 Total time	  0.194000	R_GAIN	  556	 B_GAIN	  556	
 
