Total time	  0.355000	R_GAIN	  3020	 B_GAIN	  3081	
 Total time	  0.266000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.287000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.283000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.270000	R_GAIN	  3000	 B_GAIN	  3122	
 Total time	  0.320000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.275000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.274000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.277000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.247000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.274000	R_GAIN	  2923	 B_GAIN	  3102	
 Total time	  0.280000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.317000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.262000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.262000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.269000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.254000	R_GAIN	  2980	 B_GAIN	  3040	
 Total time	  0.270000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.270000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.268000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.270000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.266000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.253000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.276000	R_GAIN	  3000	 B_GAIN	  3122	
 Total time	  0.277000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.252000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.283000	R_GAIN	  3040	 B_GAIN	  3102	
 Total time	  0.260000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.260000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.338000	R_GAIN	  3000	 B_GAIN	  3122	
 Total time	  0.269000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.276000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.279000	R_GAIN	  2923	 B_GAIN	  3102	
 Total time	  0.264000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.253000	R_GAIN	  2980	 B_GAIN	  3040	
 Total time	  0.346000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.278000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.274000	R_GAIN	  2923	 B_GAIN	  3102	
 Total time	  0.318000	R_GAIN	  2980	 B_GAIN	  3102	
 Total time	  0.278000	R_GAIN	  3000	 B_GAIN	  3122	
 Total time	  0.265000	R_GAIN	  2980	 B_GAIN	  3166	
 Total time	  0.197000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.198000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.231000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.201000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.208000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.213000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.205000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.214000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.228000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.267000	R_GAIN	  1577	 B_GAIN	  1936	
 Total time	  0.223000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.224000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.211000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.212000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.606000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.229000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.204000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.210000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.198000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.210000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.221000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.218000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.221000	R_GAIN	  1551	 B_GAIN	  1876	
 Total time	  0.209000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.196000	R_GAIN	  1520	 B_GAIN	  1876	
 Total time	  0.216000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.217000	R_GAIN	  1520	 B_GAIN	  1924	
 Total time	  0.196000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.195000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.213000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.199000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.211000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.201000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.220000	R_GAIN	  1540	 B_GAIN	  1887	
 Total time	  0.196000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.215000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.200000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.208000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.208000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.199000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.194000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.197000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.216000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.205000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.201000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.195000	R_GAIN	  1520	 B_GAIN	  1876	
 Total time	  0.210000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.229000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.218000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.205000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.209000	R_GAIN	  1520	 B_GAIN	  1876	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.217000	R_GAIN	  1520	 B_GAIN	  1876	
 Total time	  0.200000	R_GAIN	  1540	 B_GAIN	  1935	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.217000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.207000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.215000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.197000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.193000	R_GAIN	  1535	 B_GAIN	  1948	
 Total time	  0.203000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.225000	R_GAIN	  1551	 B_GAIN	  1900	
 Total time	  0.193000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.201000	R_GAIN	  1530	 B_GAIN	  1912	
 Total time	  0.201000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.210000	R_GAIN	  1540	 B_GAIN	  1935	
 Total time	  0.198000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.199000	R_GAIN	  1551	 B_GAIN	  1974	
 Total time	  0.223000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.206000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.220000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.208000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.211000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.216000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.195000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.204000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.200000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.208000	R_GAIN	  1567	 B_GAIN	  1948	
 Total time	  0.213000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.211000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.212000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.198000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.204000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.219000	R_GAIN	  1551	 B_GAIN	  1900	
 Total time	  0.220000	R_GAIN	  1520	 B_GAIN	  1876	
 Total time	  0.208000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.204000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.214000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.206000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.224000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.225000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.211000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.212000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.212000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.206000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.211000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.214000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.216000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.215000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.213000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.216000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.230000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.246000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.211000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.245000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.213000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.221000	R_GAIN	  1535	 B_GAIN	  1948	
 Total time	  0.245000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.201000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.221000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.230000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.228000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.220000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.199000	R_GAIN	  1551	 B_GAIN	  1924	
 Total time	  0.260000	R_GAIN	  1551	 B_GAIN	  1900	
 Total time	  0.226000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.224000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.225000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.210000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.206000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.200000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.212000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.210000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.255000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.221000	R_GAIN	  1545	 B_GAIN	  1936	
 Total time	  0.263000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.231000	R_GAIN	  1535	 B_GAIN	  1948	
 Total time	  0.218000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.216000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.196000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.215000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.224000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.221000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.247000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.257000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.231000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.309000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.217000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.252000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.224000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.270000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.259000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.211000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.202000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1948	
 Total time	  0.218000	R_GAIN	  1551	 B_GAIN	  1948	
 Total time	  0.264000	R_GAIN	  1561	 B_GAIN	  1936	
 Total time	  0.219000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.196000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.206000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.200000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.201000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.226000	R_GAIN	  1545	 B_GAIN	  1912	
 Total time	  0.220000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.220000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.241000	R_GAIN	  1535	 B_GAIN	  1876	
 Total time	  0.217000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.232000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.209000	R_GAIN	  1520	 B_GAIN	  1924	
 Total time	  0.195000	R_GAIN	  1535	 B_GAIN	  1924	
 Total time	  0.294000	R_GAIN	  1535	 B_GAIN	  1900	
 Total time	  0.208000	R_GAIN	  1520	 B_GAIN	  1900	
 Total time	  0.222000	R_GAIN	  1535	 B_GAIN	  1924	
