POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(0, 1), PixelCount(67247), Intensity(705753)
