[2015:06:29,15:49:37]-Device is test version!
[2015:08:20,01:53:39]-CHS300D::CloseVideo Error£ºFX2WriteFPGAI2C ADDR_BUFF_CTRL failed for error code 0
[2015:08:27,08:16:31]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 16721775
[2015:08:27,09:32:17]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10223
[2015:08:27,10:04:58]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10223
[2015:08:27,10:11:07]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10223
[2015:08:27,10:17:30]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10223
[2015:08:27,11:48:49]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10093
[2015:08:27,14:47:51]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code 10093
[2015:08:31,12:40:02]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:08:31,12:40:03]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:09:23,17:37:59]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:09:24,10:20:18]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:09:24,10:20:19]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:09:24,13:36:05]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2015:09:24,13:36:06]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2016:03:19,13:59:11]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2016:03:19,14:02:05]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
[2016:03:19,14:03:23]-CDTLC2::CloseVideo Error£ºWriteFpgaReg ADDR_BUFF_CTRL failed for error code -1104
