Total time	  0.234000	R_GAIN	  1540	 B_GAIN	  1855	
 Total time	  0.234000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.265000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.217000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.240000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.217000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.219000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.225000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.245000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.224000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.245000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.229000	R_GAIN	  1550	 B_GAIN	  1867	
 Total time	  0.216000	R_GAIN	  567	 B_GAIN	  567	
 Total time	  0.213000	R_GAIN	  560	 B_GAIN	  564	
 Total time	  0.198000	R_GAIN	  566	 B_GAIN	  570	
 Total time	  0.218000	R_GAIN	  529	 B_GAIN	  529	
 Total time	  0.203000	R_GAIN	  525	 B_GAIN	  525	
 Total time	  0.187000	R_GAIN	  522	 B_GAIN	  522	
 Total time	  0.187000	R_GAIN	  525	 B_GAIN	  525	
 Total time	  0.187000	R_GAIN	  525	 B_GAIN	  525	
 Total time	  0.171000	R_GAIN	  522	 B_GAIN	  522	
 Total time	  0.203000	R_GAIN	  529	 B_GAIN	  529	
 Total time	  0.187000	R_GAIN	  529	 B_GAIN	  529	
 Total time	  0.187000	R_GAIN	  525	 B_GAIN	  525	
 Total time	  0.187000	R_GAIN	  522	 B_GAIN	  519	
 Total time	  0.187000	R_GAIN	  522	 B_GAIN	  522	
 Total time	  0.187000	R_GAIN	  519	 B_GAIN	  519	
 Total time	  0.187000	R_GAIN	  538	 B_GAIN	  538	
 Total time	  0.187000	R_GAIN	  541	 B_GAIN	  538	
 Total time	  0.171000	R_GAIN	  538	 B_GAIN	  538	
 Total time	  0.187000	R_GAIN	  538	 B_GAIN	  538	
 Total time	  0.187000	R_GAIN	  629	 B_GAIN	  629	
 Total time	  0.171000	R_GAIN	  632	 B_GAIN	  632	
 Total time	  0.187000	R_GAIN	  627	 B_GAIN	  623	
 Total time	  0.187000	R_GAIN	  623	 B_GAIN	  623	
 Total time	  0.187000	R_GAIN	  636	 B_GAIN	  632	
 Total time	  0.171000	R_GAIN	  632	 B_GAIN	  632	
 Total time	  0.421000	R_GAIN	  633	 B_GAIN	  633	
 Total time	  0.187000	R_GAIN	  642	 B_GAIN	  638	
 Total time	  0.171000	R_GAIN	  633	 B_GAIN	  629	
 Total time	  0.187000	R_GAIN	  633	 B_GAIN	  629	
 Total time	  0.187000	R_GAIN	  629	 B_GAIN	  629	
 Total time	  0.171000	R_GAIN	  641	 B_GAIN	  641	
 Total time	  0.187000	R_GAIN	  636	 B_GAIN	  636	
 Total time	  0.187000	R_GAIN	  633	 B_GAIN	  629	
 Total time	  0.171000	R_GAIN	  641	 B_GAIN	  636	
 Total time	  0.171000	R_GAIN	  641	 B_GAIN	  636	
 Total time	  0.187000	R_GAIN	  641	 B_GAIN	  641	
 Total time	  0.171000	R_GAIN	  636	 B_GAIN	  636	
 Total time	  1.078000	R_GAIN	  2178	 B_GAIN	  2152	
 Total time	  0.656000	R_GAIN	  2095	 B_GAIN	  2185	
 
