2016-12-24 16:57:56:924   Spec_bSaveImage=1
2016-12-24 16:57:56:933   Spec_MedianA=26
2016-12-24 16:57:56:940   Spec_MedianB=6
2016-12-24 16:57:56:947   Spec_Threshold=26
2016-12-24 16:57:56:955   Spec_NormalPixelLimit=36
2016-12-24 16:57:56:963   Spec_AXStart=6
2016-12-24 16:57:56:969   Spec_AXEnd=406
2016-12-24 16:57:56:975   Spec_AYStart=6
2016-12-24 16:57:56:980   Spec_AYEnd =306
2016-12-24 16:57:56:985   Spec_offset=16
2016-12-24 16:57:56:990   IntensityCntSpc=6
2016-12-24 16:57:56:996   CornerDiff = 706
2016-12-24 16:57:57:002   RangeSpc = 706
