2016-07-07 13:55:50:495   Spec_bSaveImage=1
2016-07-07 13:55:50:500   Spec_MedianA=17039365
2016-07-07 13:55:50:507   Spec_MedianB=10682368
2016-07-07 13:55:50:513   Spec_Threshold=2000548398
2016-07-07 13:55:50:516   Spec_NormalPixelLimit=-2162
2016-07-07 13:55:50:517   Spec_AXStart=1
2016-07-07 13:55:50:520   Spec_AXEnd=1
2016-07-07 13:55:50:523   Spec_AYStart=115996160
2016-07-07 13:55:50:526   Spec_AYEnd =21
2016-07-07 13:55:50:528   Spec_offset=2000646589
2016-07-07 13:55:50:531   IntensityCntSpc=40917536
2016-07-07 13:55:50:534   CornerDiff = 2000550219
2016-07-07 13:55:50:536   RangeSpc = 10683560
