2016-07-08 16:48:39:864   Spec_bSaveImage=1
2016-07-08 16:48:39:869   Spec_MedianA=25
2016-07-08 16:48:39:872   Spec_MedianB=5
2016-07-08 16:48:39:875   Spec_Threshold=2
2016-07-08 16:48:39:878   Spec_NormalPixelLimit=400
2016-07-08 16:48:39:881   Spec_AXStart=0
2016-07-08 16:48:39:884   Spec_AXEnd=400
2016-07-08 16:48:39:887   Spec_AYStart=0
2016-07-08 16:48:39:890   Spec_AYEnd =300
2016-07-08 16:48:39:893   Spec_offset=7
2016-07-08 16:48:39:897   IntensityCntSpc=7
2016-07-08 16:48:39:900   CornerDiff = 700
2016-07-08 16:48:39:903   RangeSpc = 700
